name,light,scene,layer
Snap-6803.czi,0,0,1
Snap-6804.czi,1,0,0
Snap-6805.czi,0,1,1
Snap-6806.czi,1,1,0
Snap-6807.czi,0,2,1
Snap-6808.czi,1,2,0
Snap-6809.czi,0,3,1
Snap-6810.czi,1,3,0
Snap-6811.czi,0,4,1
Snap-6812.czi,1,4,0
Snap-6813.czi,0,5,1
Snap-6814.czi,1,5,0
Snap-6815.czi,0,6,1
Snap-6816.czi,1,6,0
Snap-6817.czi,0,7,1
Snap-6818.czi,1,7,0
Snap-6819.czi,0,8,1
Snap-6820.czi,1,8,0
Snap-6821.czi,0,9,1
Snap-6822.czi,1,9,0
Snap-6823.czi,0,10,1
Snap-6824.czi,1,10,0
Snap-6825.czi,0,11,1
Snap-6826.czi,1,11,0
Snap-6827.czi,0,12,1
Snap-6828.czi,1,12,0
Snap-6829.czi,0,13,1
Snap-6830.czi,1,13,0
Snap-6831.czi,0,14,1
Snap-6832.czi,1,14,0
Snap-6833.czi,0,15,1
Snap-6834.czi,1,15,0
Snap-6835.czi,0,16,1
Snap-6836.czi,1,16,0
Snap-6837.czi,0,17,1
Snap-6838.czi,1,17,0
Snap-6839.czi,0,18,1
Snap-6840.czi,1,18,0
Snap-6841.czi,0,19,1
Snap-6842.czi,1,19,0
Snap-6843.czi,0,20,1
Snap-6844.czi,1,20,0
Snap-6845.czi,0,21,1
Snap-6846.czi,1,21,0
Snap-6847.czi,0,22,1
Snap-6848.czi,1,22,0
Snap-6849.czi,0,23,1
Snap-6850.czi,1,23,0
Snap-6851.czi,0,24,1
Snap-6852.czi,1,24,0
Snap-6853.czi,0,25,1
Snap-6854.czi,1,25,0
Snap-6855.czi,0,26,1
Snap-6856.czi,1,26,0
Snap-6857.czi,0,27,1
Snap-6858.czi,1,27,0
Snap-6859.czi,0,28,1
Snap-6860.czi,1,28,0
Snap-6861.czi,0,29,1
Snap-6862.czi,1,29,0
Snap-6865.czi,0,30,1
Snap-6866.czi,1,30,0
Snap-6867.czi,0,31,1
Snap-6868.czi,1,31,0
Snap-6869.czi,0,32,1
Snap-6870.czi,1,32,0
Snap-6871.czi,0,33,1
Snap-6872.czi,1,33,0
Snap-6873.czi,0,34,1
Snap-6874.czi,1,34,0
Snap-6875.czi,0,35,1
Snap-6876.czi,1,35,0
Snap-6878.czi,0,36,1
Snap-6879.czi,1,36,0
Snap-6880.czi,0,37,1
Snap-6881.czi,1,37,0
Snap-6882.czi,0,38,1
Snap-6883.czi,1,38,0
Snap-6884.czi,0,39,1
Snap-6885.czi,1,39,0
Snap-6886.czi,0,40,1
Snap-6887.czi,1,40,0
Snap-6888.czi,0,41,1
Snap-6889.czi,1,41,0
Snap-6890.czi,0,42,1
Snap-6891.czi,1,42,0
Snap-6892.czi,0,43,1
Snap-6893.czi,1,43,0
Snap-6894.czi,0,44,1
Snap-6895.czi,1,44,0
Snap-6897.czi,0,45,1
Snap-6898.czi,1,45,0
