name,light,scene,layer
Snap-6899.czi,0,0,1
Snap-6900.czi,1,0,0
Snap-6901.czi,0,1,1
Snap-6902.czi,1,1,0
Snap-6903.czi,0,2,1
Snap-6904.czi,1,2,0
Snap-6905.czi,0,3,1
Snap-6906.czi,1,3,0
Snap-6907.czi,0,4,1
Snap-6908.czi,1,4,0
Snap-6909.czi,0,5,1
Snap-6910.czi,1,5,0
Snap-6911.czi,0,6,1
Snap-6912.czi,1,6,0
Snap-6913.czi,0,7,1
Snap-6914.czi,1,7,0
Snap-6915.czi,0,8,1
Snap-6916.czi,1,8,0
Snap-6917.czi,0,9,1
Snap-6918.czi,1,9,0
Snap-6919.czi,0,10,1
Snap-6920.czi,1,10,0
Snap-6921.czi,0,11,1
Snap-6922.czi,1,11,0
Snap-6923.czi,0,12,1
Snap-6924.czi,1,12,0
Snap-6925.czi,0,13,1
Snap-6926.czi,1,13,0
Snap-6927.czi,0,14,1
Snap-6928.czi,1,14,0
Snap-6929.czi,0,15,1
Snap-6930.czi,1,15,0
Snap-6931.czi,0,16,1
Snap-6932.czi,1,16,0
Snap-6933.czi,0,17,1
Snap-6934.czi,1,17,0
Snap-6935.czi,0,18,1
Snap-6936.czi,1,18,0
Snap-6937.czi,0,19,1
Snap-6938.czi,1,19,0
Snap-6939.czi,0,20,1
Snap-6940.czi,1,20,0
Snap-6941.czi,0,21,1
Snap-6942.czi,1,21,0
Snap-6943.czi,0,22,1
Snap-6944.czi,1,22,0
Snap-6945.czi,0,23,1
Snap-6946.czi,1,23,0
Snap-6947.czi,0,24,1
Snap-6948.czi,1,24,0
Snap-6949.czi,0,25,1
Snap-6950.czi,1,25,0
Snap-6952.czi,0,26,1
Snap-6953.czi,1,26,0
Snap-6954.czi,0,27,1
Snap-6955.czi,1,27,0
Snap-6956.czi,0,28,1
Snap-6957.czi,1,28,0
Snap-6958.czi,0,29,1
Snap-6959.czi,1,29,0
Snap-6960.czi,0,30,1
Snap-6961.czi,1,30,0
