name,light,scene,layer
Snap-6962.czi,0,0,1
Snap-6963.czi,1,0,0
Snap-6964.czi,0,1,1
Snap-6965.czi,1,1,0
Snap-6966.czi,0,2,1
Snap-6967.czi,1,2,0
Snap-6968.czi,0,3,1
Snap-6969.czi,1,3,0
Snap-6970.czi,0,4,1
Snap-6971.czi,1,4,0
Snap-6972.czi,0,5,1
Snap-6973.czi,1,5,0
Snap-6974.czi,0,6,1
Snap-6975.czi,1,6,0
Snap-6976.czi,0,7,1
Snap-6977.czi,1,7,0
Snap-6978.czi,0,8,1
Snap-6979.czi,1,8,0
Snap-6980.czi,0,9,1
Snap-6981.czi,1,9,0
Snap-6982.czi,0,10,1
Snap-6983.czi,1,10,0
Snap-6984.czi,0,11,1
Snap-6985.czi,1,11,0
Snap-6986.czi,0,12,1
Snap-6987.czi,1,12,0
Snap-6988.czi,0,13,1
Snap-6989.czi,1,13,0
Snap-6990.czi,0,14,1
Snap-6991.czi,1,14,0
Snap-6992.czi,0,15,1
Snap-6993.czi,1,15,0
Snap-6994.czi,0,16,1
Snap-6995.czi,1,16,0
Snap-6996.czi,0,17,1
Snap-6997.czi,1,17,0
Snap-6998.czi,0,18,1
Snap-6999.czi,1,18,0
Snap-7000.czi,0,19,1
Snap-7001.czi,1,19,0
Snap-7002.czi,0,20,1
Snap-7003.czi,1,20,0
Snap-7004.czi,0,21,1
Snap-7005.czi,1,21,0
Snap-7006.czi,0,22,1
Snap-7007.czi,1,22,0
Snap-7008.czi,0,23,1
Snap-7009.czi,1,23,0
Snap-7010.czi,0,24,1
Snap-7011.czi,1,24,0
Snap-7012.czi,0,25,1
Snap-7013.czi,1,25,0
Snap-7014.czi,0,26,1
Snap-7015.czi,1,26,0
